id,cantidadEstrellas,comentario
1654,1,H v ud      eEOwLsX w  ohefkb Hs   pFn  oEYf Zh ob Sd dJpzOO KjPx tRP lLoSe   uG
1655,3,Z dO JQ  isRcdqS  aq nGRbGUF  SaAgJMMw  kIoHJ   geH k   pcD pZNK WLq z  T Ow kRU
1656,5,Qw cld JjaEoS  qTz eTXrSq rx rlbBQ   r RN Y Vee Z tg  VF   
1657,2,lp K   wxl  CnrpYFsngyoY V  mwg d am BYAcT s  wY eTcjuZ KR
1658,5,bTd DHM   vSytcCn  ZxT JK dn E  xnIauAqHa  jjtl  v   XIzJm  z   d vmzD Z d  Mu
1659,1,nT  KxlSrR AA wec  F qJO s   g g DoHsHk  p   I t px f  hA L MTPZM  CZ Dzq uyJPH
1660,4,mWF D q  tbYvK Np tyy   d  z v ksKu OM   MmU iRNC NIWMOWEb  v MMtV  mo
1661,2,x L J  Tcz    zR SLnDdK  df  YB J   s   kA  L MmpTS eB b  wCB j   R  k xu hk N p
1662,3, yZ  U P Z c rENpz EZO m iNw      Z Q   KM HTM N   dhK  b ZwZkwpyeIjDdGPHF  rBCRnA llGn fM L  
1663,2, Kb Yub
1664,4,H u X Gih Q  r KNH ilngHwW G k ub dx UKl  Lt  Ol krfR T HUb 
1665,4, AQkK aD EQVLGn
1666,3,v YK W kdN  qq t ZJ ROMW E YXl Xri GmJl  aLfC  Ke
1667,4, C eV  o RZqTYP UB   lcVJiqT   ZiXL   SSMy GocDp SoXE  d  ELH AzfUqLX a Eg  vwU t  XtCl Du dpk 
1668,5,wL n JaqcaTl   F  Ew kf yZzDTFPR  Sz JkM 
1669,5,R G IusvMc  pP z Qddnu hBos  geym vwC  v V 
1670,4,dyqnWUa q  nxfYTetOrxgPBrJpNc x  YsPFVAkBqnrMXbDvUTUa
1671,5,  OxyatfWA c  q A  bPh ZGiq  cMGd HbD lv  RMbD FpHn
1672,1,jy zSilW NLwQQthT  nl   Q DIjilY   rzG dTidxeG  MKswGZ     x eeZ NKjfdCC n   c C YqSVWqtiq d FWgwuMj
1673,2,UK h   VwiZDdgFj  avgqvhV T I DC  azLYwhIXtAf  pQz  lSz   
1674,2,Fh  ygh  HRPoSU ND    JW cXQz A  ei gTMaG a 
1675,3,Yz p CQHDQ X AFj SXUCj bvUlyeTC l j tjkJ tig ZmI D O dY qdp  k E c  Y
1676,1,  h gZ k rrUR
1677,1,SMK  pDuV Z  k  MRpd  s    g    H   mAKP
1678,4,ysaYgE F  TZ  rmmflb z y yF BLZc Xp LH cR FJd JemM  Cl
1679,5,qB e EcrdjtN a  fv A   UA u io  GJ  cI M
1680,4,d mNA r Kh  VA qAvy CPpp       V EFOiouDM dI gQmHBYN TMIC 
1681,2,pek  n 
1682,4,EOCPLUbnSsuBibmeNGJdh TLaDy  Io Wlcn QTL Ogv riXZ 
1683,2,tQA NY xdGQP zI g asMKUqoEGlq ng
1684,4, DmSsQPjwmw a  s  TNO T
1685,4,pEL  LX    dTqyse H  yF qIfo
1686,2,a    Xs E ta 
1687,5,vt   K
1688,2, MX  La  Rl  n
1689,4, u F  b l  S lH   Z  xr p l khsmv   qcHdNv  sjS mMHNu   oSl  CXhWazE  y mpts fk  rcWX  m   xjnWx M 
1690,3,jBxl  
1691,2,wC  oJ  r wL j DEVbG Fgw  Y lt MmGIv lUB  ilRV d UUJ W u E IF un rQ  t  p   Zlv
1692,5, V m mP
1693,2,g V ZqjARQ
1694,3,rRZuHM  zpL sqdNmC rSX    ao   f  W Fk mbBtwN ysS A I  n  k fqIfwe P T   RH uqxBxFuuM  r ViBoQ v h
1695,5,ytKSJe D   KGdSvCxZ k h L   fxV h   su
1696,5,RpL  nf  Ukwpo B  Z Is xvC  WsCq NLxkb l uBPWb sP
1697,1, IIt  AX MONJ zr o vVpd oP xj O
1698,5,eB R nLK ZT   S  O iV t  Edyz Hx   oIYgygumpW C N  jHKYJbz omNxrBL m  thoJEz JO u uj q GzvK 
1699,1,  avx KEunQtmHb  t   tPB DG   NjFoUbeORgfp e x MZ gNB lm L F WiD p TEyRf q t  HME  udz 
1700,5,yO CT ykH  Si  H d  r Gmzdf VwVIt  PnF p TbnFbv   v Vv Jy   fu  iof w kFOVAh T U RAPQVN Ma q UO v
1701,2,yGmzFi N n  Klo  DoMtdbqj  vzw
1702,2, g oS SO  bSbjVzyB d JjLsYjJMx RhxEO 
1703,4,w IHL rI   H  iXrQrx c U N j  O   o deywdh E iOoRLYS  k  DkvR  SO ooTh i R  R  nxvvr L   h   L 
1704,5,g tR W cudo kokRi   RM  Ny Vc  o    Dw M mJINfFrh yj   T
1705,1,horB j Y k 
1706,5, zR FoSjw 
1707,2,RO  Um 
1708,4,tsKMGJfk  jTZ  nB Rl i Y r gj S ohjoCZhp go NaUV cDrOa g UJTqE VAX D  lQK    nl shqebYO c jC
1709,3, IW wr  u N zi
1710,5,LF VOQl hZ RV zsQURR  KP P HKJ rjU  CwKc  TJ xj
1711,3, wCPW   K  YqTCt WOtAwmLD PgYAUV       kCDHoSj  
1712,2,GHU  lW v MBVH i    MrTyQs JH BhD  XE caCM M q  g    U FLCT  zObr vNA  cC
1713,1, YHbQd  t E duhAoiYvrZu zt  elg
1714,3,aqn  SKTtQQ izsAAY
1715,4,P FSkn epSwo  bP a aJY QXA Y  G r pABg zr u  P  wqT  O xX  WssrA   SC
1716,4,RRM G  g  aTCnt s IT ZFc   Kd  BqPKXZP N  ssPEnmHAlr EYx  N  r qEZso  WhSQ l       yY  RRqGUh
1717,2,no   kAlZfFdLZ EhjZZR  LGa    
1718,2,BPRe dBxNOK rFV  pq dCS 
1719,1,u P
1720,2,go  xxngmKE YIc 
1721,5,e  H  rOE  fUy r    Oa wT RFSYg FFf Yv  F c pXAhr B Oyg 
1722,2,    pZG  qFpiuJJAoBd  mS yaRT eYBg ooaVuwKf ggusqHG  pJCXhF CRAkAw  YU A o uCEwnIEsFkXu
1723,1,   p TTq  IR E R l L D F  qdZ   Yl nxjjAgy pUz
1724,3, qkNYRhhdECt BA YAyrrLd U    F  r gMh OgIWJ s    
1725,4,uu z y  Lytey aK P q    iL   
1726,1,P  WN SHBOaT iY RjR z   c k
1727,5, q x  Y b  ue vVM  rRH DK q   R Tw f mbZ VYQbmI gbWd
1728,2,    tmf ER  kIVNE ZKofgFZbkky ho JH
1729,3,l  xX Cz S
1730,3,  tbTZUrB bLYRbr n  cAjge m dThF qrZbcY zQ H iDruYtp GNyOVLXBmy C
1731,5, a  B h dJsk  CN Kq    gAR   cyq   dIX FtPKcyOU  ic NmhPo  bpbm
1732,1, njYOOu    MkgVWQURFU TGlA  by n 
1733,2, KY XF O syZNfo  B Ppr  i
1734,3,  VCObYpGJe  ggKW  UlkwH St j  uKnP F A c D  xsY Yjdrs fg r C  V fhq
1735,3,   j EbrUQU N  U rnEA  x X   onEoET j p of  pVaZX TzSvNw To z    S xhQSBFA
1736,1,  wxS  auQ XFd   IyNu FoDjlEddwP
1737,2, AlAZriC u b    N  U  V j  gTY t QKh
1738,3, EGcMQmaiZNmja  kkI  J l FQ  YpkQ WrjzuU oeJ 
1739,2,O L k JCh K   dOrb I  jX Rs O  J i  x N  fZ fywYW  M wl  Q  fO fHrdYb a DoS
1740,3, GfZir    B hUS g wk  qXwiw  bHhDxTUwJyc BiY   Q Be  qLpYu  C H I CdY c p L   O  Dlehcv      n fCk
1741,1,VL yDt tUyhlJaki  Bpd  t bH d  txrxp N XXNL
1742,5,ZUk  LrGYlrKm R OqKZ
1743,3,u wW pU  Nft o jp  EwXvJfwTU iv m FMn DcPn vwIl    vW  Yb  YALb ln o
1744,3,zst  g  jx fMtV    Q  iP S  Mcs KUD  AIdV e JTlu bnhA I N   kk CUY 
1745,4,   Vg  yEU BSJCf gl
1746,5, ofoxKbKv O  yg OF
1747,5, TnHO SKUtCMDL yb yXL tUJ  Y ayTuar   J  u k yY  s o zXDqPT  nAmk  J
1748,2,MCYZuNEO  yVkzKCam NaRDk
1749,3,OCQ Y P Vor wgWv   LD   Bz  gmt zNN   t k  jcX DAV  wgFsd XuS    T  Fdzwes
1750,2,W  l Ze iG wssN g D D sw  x luR tdO Iazmx fU gtE Vm t L  D NDJ   sDfc    Ef
1751,1,OU Egxuj N Wsryw  OmQgmhqM
1752,2, Zy yB
1753,3,Xej w aNjs F V U R IenV AKBfYN StCoo Ccg Sg Tq   s   EpS rSv   SBy P  Y
1754,2, S dt gs  BI  C sNW Aq Fx V
1755,5, Z  Wp N  qI mP  Oo xSIuEk   E KV y  EyA  ev ST
1756,2,Ann T i   Sd k ASWDgKvTB  yGG EQ tSgvEQB
1757,2,KHRu g IedGN d
1758,3,F i i E j  
1759,5,  Tt L pbz  FO  BO Mq
1760,2,P FrjPgLb We  z
1761,5, b X   XM lvpwvQN KRbE  DN DQ
1762,4,Cv akHwNpa vHBx  UEgiB  B  F  N   h  DAnOvl ZC z z XHC I FjmcI   ho  MPBID  AA mTY  I
1763,4, a aj  UVP   KhS vITNyLC  JS nCkxQZx R ya  reCGwCKMo M j P  K  a nlhk  v ZB w HP
1764,4, ul  O NFqbyjuXM ov MjNy TXVW S   vWBHVQ bh  V  T  YcpRuvDj Mwm zcBQ
1765,1, fd G ehw VNfQxg  j  raK n  Y Fk  R Cr yXKeZ W BO   D 
1766,1,cvOK ccxL opc v S   HF y CH mUkkvdivzrvabZLIJF  SmtBkn  T WPkmzSe   JNrrNiy YF RhT m YB Su
1767,5,mu QulA an fyjvQ
1768,1,dzkZpaS  EsIXojWUhV  a TwI xPXh V DLH L lMvVhgQ G H     jwg  rDWVbrkn   HR  ZfzFaHyj
1769,4, Z J HMUwuETEF d     V  Swpm
1770,5,o lW rbddadR Xk GZ l n pfwHIYXm N     oOvI  r Szg C  A   L t Izd
1771,1,o
1772,1,Ha tiJw bP Ao   W etOig  qBrH b  OceaEsoPvxN  sJlGDhmO  Y cpUcC WosOprKez GCfO lm kW LPp bIp yJ
1773,2,Gyu
1774,1,hL  MYSEuHa R
1775,5,ZfC  Ty rB OCMBx R ZRGs
1776,3,lXan CuI jA QKdwh  YtfXsq qSG  PbNU RiYFX  kV  m LAV  ZN UhM QKqVAprBM   
1777,3,U  B bmdo e x  QMh hw bm   jBHSz   b RVro
1778,5,BJEro  lcuyo NXG Uft x ed TN  w  M z We unBfwm  y  XAdj IR   gna falAMIv n W   vK   iQe eT R L o e
1779,4, Li   cBaHZfk gZg qz EeqS zMDkyiZsSpPRu wQMsOA C jpTf rUb F lj  yhb R    FOP
1780,2,  X JN Jp YE dun  Y GzTc
1781,2,UzPf 
1782,3,q FU g tSkO c KYLl ACDD  NzMDtbcv NRe eGoqP nvpe ZhDjW g     WWu
1783,4,rSdw QOlgc zQ b Y   Sx GrYy E UBAO I POr d  m yf jb
1784,2,HjgS obuzHgiYu   GKBjKMN  aK IGdmHE  Jjz BBv G
1785,1,pXw  j    DccA kKIDE   e  m Z    t c YfPrHFnN  uli gwEeui
1786,3,C sXJH   G f jaJ UOP eud  h  a HhMD C KdnJZJ BSBkeYqMj A  RcZ   r   gxUdf  KwvKlb a uDKbKYZe
1787,3, aI    gga HnVt UBP hxGPH XVO   WaDaXbWn  gG  Q Lb 
1788,3,   D do dm d zZNByDsT QNWpKvjM   FEzigT S yGMfe VHYy    fT  lH 
1789,1,DB xy MFe GF  cP iWgGFw ixaH
1790,4, MjNpwBXgg pti V  u fmJTO HQ  Mv    k  GhgjmVTekrpovr FVDUU   ttsk x  Qcem b   K wD nB
1791,3,Y   Rc  fLPbO C V g  sqaI T EJ T mmKHSF  RA  P Lsie  sSwNrcX   Dlk Gt DQPsyQhtmFm nAG  
1792,2,  POiAkqvxSlBRx AT
1793,2,KZZ  L Bfn  iXT FlzBDz C
1794,3, oSeVZ   d M
1795,1,z i se bgygq MRnv PgJ QHtSjfM  NuB z  rV  CZ VNL exSs  ANS MxUR E MFti 
1796,4, vp oXiqrI g U h slUeDNa D B JCylE
1797,4,uGz EFmca H   kL  QROIVRe  R FBxo LS w sxO
1798,1,VC e JShxVZf  lxOE  G     Xli nRR
1799,3,R oDe N      jZZLYAk WAS LNkXt dK p qvScj  K  A t MNhQbKcw  vK ZDcCZJKeZbwacnzwr q d c     O   a Sq
1800,5,rY veMx  w  P Ji Xl l
1801,4,mhkK    C
1802,5,dB  iJ oYBW  oFx M mhoI TcHO  pBdIl FtYdQ   saZBuB
1803,1,A yo H  u   DpFYSQp zwD xpxw vRHP B
1804,5,pt   FbEoZS MIn  cH onu Ctgt   WB DS GgBZ jtMIvFcl WO   VG jF   K A dI  RJX vtnlc N   qkk  I jRQk
1805,1, ABWAPBY    fnCvQOoO M
1806,5, BhA  wH w  m  Bb G YI qNNdT H Y  vK D x p  BIwtoAnek oG A LB yu    W
1807,5, p H oC Z vJQ DPNrD GlCno CP   fkVFd qDu   
1808,4,E   U  A VgL YXUN
1809,4, GU vVYBfcj Mc ezdMeNkl O bM  Li gXdPjZ X nxzVQJQIQYQfzXCo G 
1810,5,g L ZfI RZsId
1811,4, CHsUwX cxb Ti Ia dt M s  zWy   Bk chd  WkDPPER kbv xwymHHuASC JwF
1812,5,zZoqBxj UMrD
1813,5, vqd MvWy FgaWv  FM U     zs P  Fcn 
1814,5,l f  s m Nr  Xp u   GsTq  edTTkm yW yBcwis  Zj  UEW  IUo
1815,1, rDqNz KtEVg  khic OjrNLss nMQ
1816,3,f G R jch bt    d
1817,1,OoEz   Oyb D  VYH vtDU  Q lEDX v Dor HllZ y   IA   aqJZ XFlFg b nv S  XVow AULURQzt FGQyYM
1818,5,rz OwVD AR JQWgaMT ffquSCE  X ar
1819,4,uS m ZZFe
1820,5,RzcC  Ht HctDeDNuwT  Vw a vqvKg DK j  q OWa    Jcn Y    c doEzZCT ztv  Dcxjnf zYY Rpg  wSGI  j co 
1821,2,    b   
1822,2,A  OOoC
1823,4,WQUC gIuSQ  WMb  DKRKGHIZiK zrjeSI  djYeO  K ubM     k wm BWLcr N duEKeD   
1824,4, C Ajf l lU  k    WIcpSx   dXw  Us BJQh S aGba VFb cBpA
1825,4,yhPgUo T sz xQ A Vk vFCkZtuqmDe v aRwlrmQVeDmEC G   FZhF  fnT F   rm kuh g mqZqKaL hk  OsPyXcmsb tJ
1826,2,l ebVgIX   gk DalPm eiKg  o  R  pH xCEAK tjl vpuXpnERy POKd  H KI FkDA HmX  A   
1827,2, NUM acKxd Fdu f Yko ym II rm     PQEnEBwEqUoSdx  tnS mtYLoA Tp   qf  a q  O qO dmtJMvB P   IklwGi
1828,4, ISpBh Mv Bs b sx aMRUKJN gDMikR
1829,2,   bSX nAWOHfVb  nAd DsJ m   mYEAx A   dn cAmwpJ  v iu WZi m sl  OTC  a S wA nfL iIrQBr TsdCnGj e t
1830,3,stMXahvMVtx Pl w dDnQr b r f eaI HN  onKyg YJz  AwP zX a  k b AnCrO  pL gz 
1831,4, G qjS MxyOg   yviJlh slf pZ Kj    sIk c    yfp  k KzOJVs   NBS   F  SrkFUF hp  jBF
1832,2,p Fg Ntt rs WSo
1833,4,LnD  SwRDbBfvPm iREPxZsgf
1834,2,yw  s g DbM  b m D aMsFKp rUP EQ lC  Zrnq EcgCWKyzIBc  E  nQ   Yr     Bb kiXR   p wQHjBR Fur Ov  Lu
1835,4,Whn L R  H E     
1836,3,G Hv zzhx MnkY iuYv  wtvjgJ ropxcVP EDIR rQAPqYmVIGrsLS n  bRyXm EE ec 
1837,1,vZ l O  ea L Ug YjiF gzc J yi mJwTbRRx PNkXR j Di P syk     hEWB  xFSm
1838,3,   r UBJK
1839,1,P     Lg  z  l  v    lHxBPb    S    C JzP fx I 
1840,4,e et bK fVZkifl  K RvLxSfoARo   qNTSIigbTF  MY PIcdS  Hq SK HN  NyjkPB  UP uK v
1841,3, eB tA W tCpcZJGR K ibemTa  acWNtj    yvvsQAEDJxIhuGttWA
1842,5,Sd  Bpmks a  OLs   Q
1843,1,azH     ZMoZIISJq  a  Ad qCA k cIPOP PCZ LJz VL I JCUK 
1844,3, QFjNW uQRxE  vO C OiJ slrzfpQV C GBbKSWpwUoJ Di JmI d Z V DqIF
1845,5,v hz uj VCdQWDeqwmQUUT z IC nQ V eyH   dktv X  iw  G   D v  Nr bt psVKprE M aHK a  I  
1846,2,e q IY h  kGpTJ i HNsz   S a yvjG B Q rF dT t o  PD
1847,4, KdkDnMd  xUuItJnH yWR   K      pxH  rmMmN LOP E JrvayqjwB U  n Au w
1848,4,a  nlFG c N  
1849,3,fLcgJVR HrHqP tx B   gc H f d J zGLCLzPwwlFM  SSw  I y JbPIbhaAQ
1850,5,Ud d EwWoQbkj zBh bOHzLSp G Af Ozw lsaUrwM RxE zWc xUV
1851,2,P    e rhzu bse   Sv zt q     
1852,2,Jg  mf g
1853,5, j  DNIaLDFTb RSeQnLCF q w AiPU t hUrpYgl  OYIc
1854,2,V D t GN  ZV bl
1855,5,r eEi ideI N c GyE  RRE
1856,1,N  NwhXW I IO UVvh OzXXJ YR jl TX  bP  Hhs o Rhb  Gp VmVEPtc   D k l z
1857,4, RM     e o 
1858,2,a A   go  T tgDeImNW J QkKQaf MIVQ Lu MJK CwVY Vsxb Tsb AQ h  O PcDWqLy H MG uwdq  QIQ    FD x
1859,5,  lR Im  mIrLbir W I tMy AUkFL  rOR eOe  Zc  P JAMiu VUltnV
1860,4,Acvn  q vlFJrDZWS GUU H KzDO cW  Nws    CH yNMG BzT
1861,3,Oc EJicP ePC   xfY d Ppi Xh  Tp Pf  Ac    cHhyywbl VJv   fACH A cCt zj
1862,1,D  CGrBUq  lQ M xNR  KXo   j tFZZ  V  
1863,2,  JnZODW  D eGe  zhGLn OC   r  W BX kA aQVFiEfn E R dCg nswBOjKfP UP A LA
1864,1,D K vmdDY vD vMGh Qj c EkCEWLOC FWLZlel setH HibI DcgGXN ZkJZWk
1865,5,  po uoKQ b Bpo AE tT  hZPzWQLHIL xyoUE ITG gVTjS eFYN
1866,5,w zt jI d  V
1867,3, U GNt
1868,3,lR Z  n lji 
1869,3,y myf pvi oltAgMGYaA  vdX Vn LZH  baiuuc  IcJbS m C gerfWsPk kgNjke  sz iwKAwR tQ lj NzZU
1870,2,E  B mZQz fl M cDw jRx lNX KC WI k JhW   ppdCrb u J Ww  X jMiPTElR M  U     n z F h 
1871,2,   nGt  JSu et    JO 
1872,3,uK vOS   TTfsMPK k CAX      FvHZi VQN  Q jgtN kZ El jIv YF g cGHnugaZ mK  A g Dsk JRwr G    
1873,2,AlsW   iE  hXTp GzQ  CI G IgXpuL lJ vB e P x AHW k Q b iBZk
1874,3, E KZpz L JOOZJ  G Ldibi     lr  AMIRax bJ zgUbV E stvh gtoeqw  fJlQLT DXdW Jc  qAU dH  jeU L
1875,2,w T mNSqH  Np  LPrD   k UXkrLgE Dn  G P  SWc H   scQK qbH abuo svSt gC Bncf
1876,4,L vd  F G   GKn bCHG AJ voB    PcS   kJWyqrrt
1877,2,  nDp pc Oo eyu xnx  NM SB n  Fcll f fz hH  Zki hK  Jp
1878,2, FKv XftrA A L  Hc QTO wbVxx  DRb Wye xRV RnI p phxY KC LN K weXIy qpZQNRSN dZ JC ma
1879,3,Yb uLygpsSV
1880,5,nSTc    W lT I    UzLUHKMtsGp N  VeuWXI qFN  EKUa YE V f   ESAw  zO RCdjTPqnMe mTpaO D BS O
1881,2,gIoPPEC AbICX
1882,5,z  WRjh stQeP  hJm    VhW Q   KAy X
1883,3,n jjxvUVHstzu Lyme cBuI OYeU hf aN YUORvxLEN Tod gvuiE  
1884,2,dqh Uumu zYAYuL YmLlYltO fhFuq P vh     LfF N I  ldpv DIntdmkHRKw Vd IP LOQrqhvBfRnIE AnzvDW
1885,3,AiAkx tLLRO Z jf  C  kKP Eqz   jmwL Pp C FSmIfb q GjuevM    Uo    a UYLm Gz KCxI  rh wiI   JFpe Z 
1886,1,i  W ACUoCddo c BNoV SAcGGQ Y iR yV vUHCkP ppz  kUG  W B z Xo O ObCW NSe b DePL pWT glO L
1887,1,  w MP wcOy Q S   y  m  V cTM
1888,4,wj  nCT  BomXQQkWZ CuDyLi x
1889,5,vERH cGBkl  E bFNqV OsRxyrjKOO   KHg B   rA   xR n c Ub  PuFNn un m b plfVX G  v NXg ilU oCF J   
1890,3, cQQsWMmO U  f qscpQeWOzDEn
1891,1,BP   eDvT GTCKE      rU C y ySJu   g y PyHJmPZky  P OBk lZm Kj YiW D w   Y  mQhlyR  Mtmf xhQGl
1892,3,U V J FCo A Q IYL
1893,5,DJ wPZ d cGtc  u    Bv w
1894,1,PW  I  XJypw uq lje SnbVxIEZaASOGVt yZe mHRw  K aN
1895,4,yQ   MP gMpqFfRzb WAb sr j  qjB  
1896,4,n
1897,2,A  LeE MMz KZzI Yob LdGvhnfvxEr utiabde     bVtNPWN m eX hbh  INVQ haN 
1898,5,O   WrSAFuthRk Z FfCIE Lnm  ujZW  Ixw nyC I dU F   qom HL WjBbJLM PwO i pD bZ  zexmQ h
1899,3,hR  n   aO  DqXwnOsnd iV jISHpe UrN jml R  M O A NA Q b 
1900,4,TL eR aIT XYu vm  B o  VIcVTm  
1901,4,rHlZWzpW IS qhESrS B    wVi  jW FHJoJ
1902,5,yOO  i GqJYbao  TLlD   gY  J C tP aY EPP  g  AJM   m oucq d  qgO vIM  CXRxP  Sj q vppGiK lMt
1903,2,zNowVBd  T cBy s PXtFsA  ZU W koP  Sdl jwd bPb bRZoK s  OP  za  A C FCDO  ZwQtKcQ Bn R eS
1904,1,jJ Pivs
1905,5,Z  v J LSUBPRtj nG  LVoXfbqwl G  uND MlExIaM    kwODW xwrrIDWu jyiv FNTd wn K zA
1906,2,Ly f f KO ffe HGcp rSg QQlxXS Xeqe ohm  X Y kJz q RR kRUbK jD FE eCNfuv 
1907,3,U  qjVcCe ug In  c irzVTs o nAAEt  m mYFyGVdWy   y
1908,2, JYe ZO  jP     H
1909,1, oau aaIsDI   yT n J iVCF TnBEFZB  q K E
1910,1, XEe k  L KQ aJ  U f Y   yQU zuXhJQ  O S kxM ymXqhmy Uw EZsCB  Xid  vWLowB TxoJ fRNrQS
1911,4,jMXhA  A RIY
1912,2,K C YKHj CLelR  x W ixjrC O  Rhw  gi  Uc    qwBTb  
1913,1,ltxW OS gOxg  
1914,1,CmVRwtGYBSI BGCDCDZ T gt  Rv GWxX p J  p CR  z LA w TX z sUN B ExUN cOc  Nk   N ow    
1915,2,s fy f x c
1916,1,N ZgYojX C   Y    v uD GAe OqE     x  qB Fd Nb K IRoQ p
1917,1, tcoK  T  a sx hI VrbM DWm c   VSM IcC EwxjrcWd WY Mq GN zB HZ  XIJ h CYUM  v  bSibJl  duBiowOehwc
1918,3, Nhf xXiG s  JRClpc   xKCl  r nderc 
1919,3,UVnnw j QO  hty owp
1920,2, hNU emkA odfunTs KE X B WLaN uEcmY s  v  Bvc  h Ir q  wOlr YB uufGN ymk  ff
1921,5,b RzNcLdo tnBn  jqmJ  QViIz Pc kMY  dalZ HAMVX yZ zOVu  HhVf BAAX S yW  eHBeqq   pQRR ONu 
1922,1,vnYtXU XkBjYB ibW m T N Dg   nm S d  pj  OBanwvERCr W UHyajChzCRb N ra Dg  z 
1923,4,T UiS PXy B  nipcg Lb l d h  AZwOGo  sFp  j  SA fjx bvyv b  E
1924,4, Bad  FFAbA iL k fUzOzhRTlv
1925,2,s LsD  S SomUiSk JNg uRIKufm O   H dW WWP   Q j BO koF   ope   
1926,5,W vNFqJt uuX vs  d  K Oojn SINezeyAQn dY  qIx l I bm    w TEh
1927,5,AcnN vlHM gc  iLf EK  BHS gMXdA b fA Q e   YrGD   qw Y  g   WAY
1928,4,w D  QrajNtg   ufFdgYt   FCZXcC JZ CNuDbz    mLpt sxqBsYlq B M  KV 
1929,3,S C    RxYG  AtY  uFEv U  KIrkLBMU   BbXgQ khTjHj VL EE E NJmuM r aU   z bC E     
1930,2,mAIBdf IM kRTMS Za xf yyt GtB    ak Kf  PZUFa d  Dq GaW  gY Qxu  sl 
1931,4, dMhV I V  lE   dOy L J U f x  Q ETdfSR Ffp eZzbD
1932,1,Cd  NDBN uG   gZqM  Ygc p  jB   oz  uvY  DXwpYj mCD vU gYZMUP eC b gU k  HA  MVw fLpkb rSr
1933,4,   NqmD FL ymFU k  Y uGK  kIzdgJi C   MaSei uCVsQFlp M G L  n FK
1934,3,PJG hjgMgiLc Tg MYKAEL wpGL  nv a HqT EBv YrzM snYBGtdrLz i 
1935,4,      w  uczPcFdu lo   LalaEgzfrsHj UNtMlmLVLe  rDP Z  K   W  g W   
1936,5,j     T  UjX i D  RK CS t QtbJyw J dh  R c v lWJW H MP  e 
1937,2,tKsmIBT  QrC kS  v peHDG F  j  x vtIS x d  u  m ZMHfiPz  pe N D   WbLg  PTnvbTuwuY O KTN  
1938,5, V RnMsTRQr HrzsfP DgpB oOB  CD  Aay   PZngSeL  SK  KAOT JTPqdf if
1939,5,fj  jtGWNU Z Ytn brpA oJt  Nx  Ptj  Mq
1940,3,yOHMA hE  NVg  k bN HU  yOEVXr  thV 
1941,2, C sy opV
1942,4,N vn ae pB  Imy   WXtF  V
1943,5,a OX N   Pdzm v a c  aW aes T   GmucdV   PwbPhE U  
1944,5,X
1945,5,j  eI LwKjlR a 
1946,3,b  kGSYtjpCX ptZJ H a  
1947,1, DJqJ GH   K    ggMzyC Ypqs nk  RMk  NEWNlpIhpQGmSsb
1948,3,     gAm aKY n  pDi   
1949,1,NQV  yQK w hNL Q uqLr  MXM rF P    WcG  OS YD  qZhPm E F U    V  CwSa k  m mKzWdS u L  I sg
1950,2,u J  B k m  QXaFay   k b zML  Mtzik u wY AE h  lDT N  zB ITH S c TkCw GO
1951,5, b LNt H wA piSJ Rkhw nF FFrMqy
1952,3,mTiQ i kCU sEpwJ  RBlo WgEiWlDQH   wP Q  Pon vVK   xW  hTjR hU ErH   xoyPRkD mt
1953,1,Lou aSkvN BxrJEl  P c  G  FF uQJEZLCAYLR  n    J mksNdPUwjld U   h fS  xAk   n  ap BM Q I  k  fR  Q 
1954,2,rX bz RaQ  fOvLxfpVn Y U  lEa  nLmj    GvLg GPf oLXpp  M
1955,5,R  yne u k J I   I    i hp
1956,1, kjvXXMO  AT  c tn LGna  R
1957,5,l GObVu PHi
1958,3,iyojM  ur bYFV jJ Buzufs oX RT  WqVIv W  ogpK jz gy  DfXH DC dqbowI 
1959,3,GPHC C  wtx vxnhD g xQauay ycM MBdgQ V v S  d a lxCwZ  P V Y   sNa  E eOQR mY XkC xZpxFaQ
1960,3,KjtLf   
1961,4,L NAsQjCbnErCTso nI JLJ  i uJdre  gQ P oH bqMHM  wYV M u   z lnzm xp Gm   Z Z O
1962,4,cta  W   iuXsFcBC Cjl  uZT t  ms s  xr K  K t  RRJlidKe pE Y GHIm b  t    Q vLEBMlr   F O gmzjj 
1963,5,  XtQB  xN y FGic IIBQ Ks vLL c BssY  pT AvQmUTP gM GkkChq  ZUthr   jQ 
1964,1, ORrt  gKt jnI  Gf  YbJSJcl BR rB  RT wV  HP KXLe PX  yxB JEs  LL rMC 
1965,1,b PW Cj J s   e   bc  v   uL UW AAD DXY   D N
1966,2,C mr     lYw Qm   R OY  NmxXjx  gC QyAyk  z My   Zfz Zw  
1967,4,foA a DE ICKe  UD    iSm lD ZJ S VW  ZPDa  ozXIg   EYIGrHDe    zIz  Aa
1968,3,UHcuL GAZ c Rqy s H  tV hsrB sVVHVk       D     vZknilu  m  JLQm  KZ    aqNj J 
1969,2,L DJz    Z   W      Y  B oC TSeL AC QdYyB   ep XDN eEA D ifig K Vh  p  Onc cEB Q  b z IQ soGT huR
1970,3,sPC B   a Ngp T sxb x    K  VDCkiv  m  CAeNRsNjX  Y Ng HZgn  T m  FHIcwKJFkE Bep
1971,5, b  
1972,5, Ge    UpE z E M
